"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,422695712,140898570,99.06303951835348
"hipLaunchKernel",1,3040227,3040227,0.7125081208435945
"hipDeviceSynchronize",1,708672,708672,0.16608449139306763
"hipMalloc",3,87790,29263,0.020574479448034363
"hipMemset",1,84786,84786,0.01987046149312042
"hipFree",3,61668,20556,0.014452523050477083
"__hipPushCallConfiguration",1,4260,4260,0.0009983743302041962
"hipGetDevice",1,2934,2934,0.0006876127429152844
"hipGetDeviceProperties",1,2794,2794,0.0006548023189179634
"__hipPopCallConfiguration",1,2445,2445,0.0005730106190960703
"hipPeekAtLastError",1,2375,2375,0.0005566054070974099
