"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",1,11044660,11044660,44.71003847974875
"hsa_system_get_info",2039,8429692,4134,34.12435092546354
"hsa_system_get_major_extension_table",3,2223668,741222,9.001660698127958
"hsa_amd_memory_pool_allocate",8,666354,83294,2.697476697438807
"hsa_amd_memory_lock_to_pool",2,389852,194926,1.5781651876478775
"hsa_amd_memory_async_copy",1,359123,359123,1.453770704481877
"hsa_executable_load_agent_code_object",2,310723,155361,1.2578420056880855
"hsa_agent_get_info",71,197162,2776,0.798134175859123
"hsa_signal_wait_scacquire",6,180956,30159,0.7325304466720943
"hsa_executable_freeze",2,135981,67990,0.5504665369974915
"hsa_signal_create",41,126273,3079,0.5111674500576128
"hsa_amd_memory_pool_get_info",58,120550,2078,0.4880000958593303
"hsa_amd_agent_iterate_memory_pools",15,63067,4204,0.2553023811328112
"hsa_executable_destroy",1,59156,59156,0.2394702087984616
"hsa_amd_agents_allow_access",4,44489,11122,0.1800965264594421
"hsa_amd_memory_pool_free",3,39110,13036,0.15832172334349573
"hsa_executable_get_symbol_by_name",15,33664,2244,0.1362756966155827
"hsa_amd_memory_unlock",1,33663,33663,0.13627164850197127
"hsa_code_object_reader_create_from_memory",2,32127,16063,0.13005374599479638
"hsa_executable_symbol_get_info",15,31985,2132,0.12947891386197163
"hsa_signal_load_relaxed",9,20951,2327,0.08481202827332086
"hsa_amd_agent_memory_pool_get_info",9,19623,2180,0.07943613339732591
"hsa_isa_get_info_alt",2,17739,8869,0.07180948735336923
"hsa_amd_profiling_get_dispatch_time",4,15714,3928,0.06361205729019923
"hsa_executable_create_alt",2,15295,7647,0.061915897687005034
"hsa_signal_store_screlease",6,14668,2444,0.059377730452630915
"hsa_signal_silent_store_relaxed",7,14247,2035,0.057673474622213845
"hsa_queue_load_read_index_relaxed",6,13340,2223,0.05400183557663597
"hsa_queue_load_read_index_scacquire",6,13201,2200,0.053439147784645535
"hsa_queue_add_write_index_screlease",6,12852,2142,0.052026356134252286
"hsa_iterate_agents",2,11524,5762,0.04665046125825734
"hsa_amd_profiling_async_copy_enable",1,2864,2864,0.011593797383169822
"hsa_amd_profiling_set_profiler_enabled",1,2444,2444,0.00989358966636419
"hsa_agent_iterate_isas",1,2375,2375,0.009614269827174695
"hsa_amd_profiling_get_async_copy_time",1,1886,1886,0.007634742271179568
"hsa_code_object_reader_destroy",1,1886,1886,0.007634742271179568
