"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,421587158,140529052,99.28911491363789
"hipLaunchKernel",1,2708994,2708994,0.6380023951449573
"hipMalloc",3,93238,31079,0.021958729815763908
"hipMemset",1,84857,84857,0.019984898174309592
"hipFree",3,61739,20579,0.01454031639562676
"hipDeviceSynchronize",1,55314,55314,0.01302714752599975
"__hipPushCallConfiguration",1,3352,3352,0.0007894384515159122
"hipGetDeviceProperties",1,3352,3352,0.0007894384515159122
"hipGetDevice",1,2863,2863,0.000674272758559086
"hipPeekAtLastError",1,2375,2375,0.0005593425782667934
"__hipPopCallConfiguration",1,2374,2374,0.0005591070656022599
