"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",1,11238468,11238468,45.58292179066175
"hsa_system_get_info",2039,8435815,4137,34.21543713836185
"hsa_system_get_major_extension_table",3,2146354,715451,8.705553685526711
"hsa_amd_memory_pool_allocate",8,460044,57505,1.8659260027490574
"hsa_amd_memory_lock_to_pool",2,395580,197790,1.6044617648909063
"hsa_amd_memory_async_copy",1,364709,364709,1.479249825096308
"hsa_executable_load_agent_code_object",2,313866,156933,1.273031994284972
"hsa_agent_get_info",71,196324,2765,0.7962848261551198
"hsa_signal_wait_scacquire",6,181029,30171,0.7342487204520852
"hsa_executable_freeze",2,138495,69247,0.5617319685741596
"hsa_signal_create",41,125779,3067,0.5101562170135328
"hsa_amd_memory_pool_get_info",58,121733,2098,0.4937457506078788
"hsa_amd_agent_iterate_memory_pools",15,62926,4195,0.2552261515180878
"hsa_executable_destroy",1,59574,59574,0.24163053031399678
"hsa_amd_agents_allow_access",4,48330,12082,0.1960251708811808
"hsa_amd_memory_pool_free",3,38341,12780,0.1555100574540731
"hsa_amd_memory_unlock",1,34292,34292,0.13908742312968037
"hsa_executable_get_symbol_by_name",15,33940,2262,0.1376597206643343
"hsa_code_object_reader_create_from_memory",2,33595,16797,0.13626041000937864
"hsa_executable_symbol_get_info",15,32967,2197,0.13371325902006803
"hsa_queue_load_read_index_relaxed",6,26260,4376,0.10650984869314728
"hsa_signal_load_relaxed",9,20675,2297,0.08385723997451713
"hsa_amd_agent_memory_pool_get_info",9,19070,2118,0.0773474034492886
"hsa_isa_get_info_alt",2,18368,9184,0.07450011046442229
"hsa_amd_profiling_get_dispatch_time",4,17740,4435,0.07195295947511168
"hsa_signal_silent_store_relaxed",7,14947,2135,0.06062462712934015
"hsa_signal_store_screlease",6,14177,2362,0.057501527986395615
"hsa_queue_add_write_index_screlease",6,12921,2153,0.05240722600777441
"hsa_queue_load_read_index_scacquire",6,12851,2141,0.05212330790387036
"hsa_iterate_agents",2,12013,6006,0.04872440260284761
"hsa_executable_create_alt",2,11454,5727,0.046457113744528135
"hsa_amd_profiling_set_profiler_enabled",1,2793,2793,0.01132833234577153
"hsa_agent_iterate_isas",1,2445,2445,0.009916853772077117
"hsa_amd_profiling_async_copy_enable",1,2444,2444,0.009912797799164201
"hsa_amd_profiling_get_async_copy_time",1,2374,2374,0.009628879695260153
"hsa_code_object_reader_destroy",1,2304,2304,0.009344961591356105
