"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,450861490,150287163,92.53695951734444
"hipLaunchKernel",1,35997371,35997371,7.388271868058257
"hipMalloc",3,128857,42952,0.026447224384869183
"hipMemset",1,100292,100292,0.020584407738867893
"hipFree",3,61879,20626,0.012700340669977729
"hipDeviceSynchronize",1,59504,59504,0.012212884358608813
"hipGetDeviceProperties",1,3212,3212,0.0006592461777334551
"hipPeekAtLastError",1,2933,2933,0.0006019828889452751
"hipGetDevice",1,2864,2864,0.0005878210003202413
"__hipPopCallConfiguration",1,2375,2375,0.00048745631136891523
"__hipPushCallConfiguration",1,2374,2374,0.00048725106660623356
