"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_system_get_info",9043,37869293,4187,39.064098935953304
"hsa_signal_store_screlease",7,28817996,4116856,29.72722640689137
"hsa_queue_create",1,24744941,24744941,25.5256633227435
"hsa_system_get_major_extension_table",7,2207743,315391,2.277399025568245
"hsa_amd_memory_pool_allocate",8,469190,58648,0.4839933129926648
"hsa_amd_memory_async_copy",1,421561,421561,0.4348615806357782
"hsa_amd_memory_lock_to_pool",2,408501,204250,0.42138952737870916
"hsa_executable_load_agent_code_object",2,347179,173589,0.35813277011760775
"hsa_agent_get_info",99,253725,2562,0.26173022302066085
"hsa_amd_memory_pool_get_info",110,236483,2149,0.24394422437913074
"hsa_signal_wait_scacquire",6,235924,39320,0.24336758749010304
"hsa_executable_freeze",2,158678,79339,0.1636844155226029
"hsa_amd_agent_iterate_memory_pools",33,145621,4412,0.15021545691789007
"hsa_signal_create",42,125854,2996,0.12982479254327423
"hsa_executable_destroy",1,68304,68304,0.07045904484462792
"hsa_amd_memory_unlock",1,48121,48121,0.04963925534329381
"hsa_amd_agents_allow_access",4,45606,11401,0.04704490511806191
"hsa_amd_memory_pool_free",3,40507,13502,0.04178502766340687
"hsa_executable_get_symbol_by_name",15,34643,2309,0.035736013857935775
"hsa_executable_symbol_get_info",15,32477,2165,0.033501674856801666
"hsa_code_object_reader_create_from_memory",2,31218,15609,0.03220295241800765
"hsa_iterate_agents",4,26819,6704,0.027665160513118944
"hsa_signal_load_relaxed",10,23816,2381,0.02456741350462138
"hsa_amd_agent_memory_pool_get_info",9,19557,2173,0.020174038709685937
"hsa_isa_get_info_alt",2,17669,8834,0.0182264708268876
"hsa_amd_profiling_get_dispatch_time",4,17112,4278,0.017651897039430677
"hsa_signal_silent_store_relaxed",7,15226,2175,0.015706392258203104
"hsa_executable_create_alt",2,14387,7193,0.014840921149268885
"hsa_queue_add_write_index_screlease",6,13339,2223,0.013759855926190149
"hsa_queue_load_read_index_relaxed",6,13199,2199,0.013615438816236882
"hsa_queue_load_read_index_scacquire",6,12501,2083,0.01289541636804131
"hsa_amd_profiling_async_copy_enable",2,5656,2828,0.005834451242111963
"hsa_amd_profiling_get_async_copy_time",2,5168,2584,0.005331054458846292
"hsa_amd_signal_async_handler",1,4260,4260,0.004394406345720821
"hsa_agent_iterate_isas",1,2793,2793,0.002881121343567665
"hsa_code_object_reader_destroy",1,2444,2444,0.0025211101194698793
"hsa_amd_profiling_set_profiler_enabled",1,1956,1956,0.002017713336204208
"hsa_signal_destroy",1,1955,1955,0.0020166817854188274
"hsa_dispatch",2,0,0,0.0
