"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",1,422570491,422570491,97.02076301151915
"hipMemcpy",2,7141935,3570967,1.639764247235792
"hipLaunchKernel",1,3886649,3886649,0.8923615339196932
"hipStreamDestroy",1,1142179,1142179,0.2622404555829099
"hipHostFree",2,195484,97742,0.0448824687016392
"hipMemset",1,168387,168387,0.03866108866844816
"hipMemcpyAsync",2,138775,69387,0.03186227309687739
"hipMalloc",3,80247,26749,0.018424441212070763
"hipHostMalloc",2,77314,38657,0.017751034280035875
"hipFree",3,59645,19881,0.013694291326703311
"hipDeviceSynchronize",1,55454,55454,0.012732051827160792
"hipStreamSynchronize",2,14876,7438,0.00341547955027309
"hipGetDeviceProperties",1,3423,3423,0.0007859092834488295
"__hipPushCallConfiguration",1,3422,3422,0.0007856796868132908
"__hipPopCallConfiguration",1,2863,2863,0.0006573351675471804
"hipGetDevice",1,2863,2863,0.0006573351675471804
"hipPeekAtLastError",1,2445,2445,0.000561363773892021
