"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",2,16252617,8126308,48.514609904300116
"hsa_system_get_info",2063,8551250,4145,25.525769661842542
"hsa_system_get_major_extension_table",3,2247203,749067,6.707976747423072
"hsa_amd_memory_pool_allocate",20,1404988,70249,4.1939365666601764
"hsa_agent_get_info",213,572338,2687,1.708448233500323
"hsa_amd_memory_lock_to_pool",3,545108,181702,1.627165765101905
"hsa_queue_destroy",1,542036,542036,1.6179957414911836
"hsa_amd_memory_async_copy",4,475965,118991,1.420771578084945
"hsa_executable_load_agent_code_object",2,376373,188186,1.1234860991009108
"hsa_amd_agents_allow_access",13,340964,26228,1.0177890398456928
"hsa_amd_memory_pool_free",7,328183,46883,0.9796373237751758
"hsa_signal_create",84,248356,2956,0.7413510364141578
"hsa_amd_memory_unlock",2,190945,95472,0.5699772650876216
"hsa_amd_memory_pool_get_info",88,187107,2126,0.5585207056416749
"hsa_signal_wait_scacquire",5,175651,35130,0.5243241592600268
"hsa_executable_freeze",2,168876,84438,0.5041005557565644
"hsa_signal_load_relaxed",63,141567,2247,0.4225822696936779
"hsa_executable_destroy",1,119777,119777,0.35753838477257877
"hsa_amd_agent_memory_pool_get_info",48,98750,2057,0.29477208058552273
"hsa_amd_agent_iterate_memory_pools",21,89817,4277,0.26810677429822677
"hsa_signal_destroy",39,88141,2260,0.26310385777102335
"hsa_isa_get_info_alt",8,53427,6678,0.159481396956382
"hsa_code_object_reader_create_from_memory",2,34921,17460,0.10424036279622317
"hsa_executable_get_symbol_by_name",15,34222,2281,0.1021538242207368
"hsa_executable_symbol_get_info",15,32265,2151,0.09631211321612042
"hsa_signal_silent_store_relaxed",13,29961,2304,0.08943459550807946
"hsa_signal_store_screlease",9,22068,2452,0.06587372429732978
"hsa_queue_load_read_index_relaxed",9,21653,2405,0.06463493530043872
"hsa_queue_add_write_index_screlease",9,20537,2281,0.06130363766060638
"hsa_queue_load_read_index_scacquire",9,19765,2196,0.05899919162301627
"hsa_amd_signal_async_handler",5,16204,3240,0.04836948651957276
"hsa_amd_profiling_get_async_copy_time",4,15715,3928,0.04690980502685053
"hsa_executable_create_alt",2,15575,7787,0.04649190030500776
"hsa_iterate_agents",2,11524,5762,0.034399528675114574
"hsa_agent_iterate_isas",4,8103,2025,0.02418772829351383
"hsa_amd_profiling_async_copy_enable",2,6146,3073,0.018346017288897443
"hsa_amd_profiling_set_profiler_enabled",2,5727,2863,0.017095288157096593
"hsa_amd_profiling_get_dispatch_time",2,4749,2374,0.014175925171652125
"hsa_code_object_reader_destroy",1,1885,1885,0.005626788576240105
