"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,449381737,149793912,91.13529325738693
"hipGraphLaunch",1,32354194,32354194,6.56147928480767
"hipGraphInstantiate",1,6373620,6373620,1.2925797378613686
"hipGraphAddKernelNode",1,3370876,3370876,0.6836187310261953
"hipGraphExecDestroy",1,1289405,1289405,0.2614932764892067
"hipMemset",1,104342,104342,0.02116071479126947
"hipMalloc",3,85694,28564,0.017378872298049165
"hipFree",3,61669,20556,0.012506566104375965
"hipDeviceSynchronize",1,56781,56781,0.011515272340601788
"hipGraphCreate",1,3841,3841,0.0007789605864682107
"hipGraphDestroy",1,3282,3282,0.0006655945443344617
"hipGetDeviceProperties",1,2864,2864,0.0005808235146172755
"hipGetDevice",1,2793,2793,0.0005664246076557439
"hipPeekAtLastError",1,1886,1886,0.00038248364125983996
