"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",2,18186246,9093123,58.91060202218774
"hsa_system_get_info",9057,3900470,430,12.6347700272768
"hsa_system_get_major_extension_table",7,2079711,297101,6.736795875419594
"hsa_amd_memory_pool_allocate",18,1412130,78451,4.57430458345235
"hsa_signal_store_screlease",8,1381797,172724,4.476047071091689
"hsa_queue_destroy",1,705109,705109,2.284055526427102
"hsa_amd_memory_lock_to_pool",3,643743,214581,2.0852729957336553
"hsa_amd_memory_async_copy_rect",1,449862,449862,1.4572353880457474
"hsa_executable_load_agent_code_object",2,396191,198095,1.2833792265744444
"hsa_amd_agents_allow_access",11,290333,26393,0.9404740162927431
"hsa_signal_wait_scacquire",6,237554,39592,0.7695073052887763
"hsa_agent_get_info",301,198263,658,0.6422321950734092
"hsa_amd_memory_unlock",2,197700,98850,0.6404084724129716
"hsa_executable_freeze",2,167152,83576,0.5414545117894438
"hsa_amd_memory_pool_free",5,147847,29569,0.4789199363724867
"hsa_executable_destroy",1,137047,137047,0.44393555851684635
"hsa_signal_create",85,117363,1380,0.380173290580696
"hsa_amd_memory_pool_get_info",152,36844,242,0.11934855719566782
"hsa_isa_get_info_alt",8,35286,4410,0.11430173676056711
"hsa_code_object_reader_create_from_memory",2,32190,16095,0.10427288177528354
"hsa_amd_agent_iterate_memory_pools",45,30514,678,0.09884382461916752
"hsa_signal_destroy",40,12175,304,0.03943840744374269
"hsa_amd_agent_memory_pool_get_info",48,11273,234,0.03651656403394755
"hsa_signal_load_relaxed",44,11072,251,0.03586546589052313
"hsa_executable_create_alt",2,7094,3547,0.022979553380362273
"hsa_executable_get_symbol_by_name",15,6707,447,0.021725946507201825
"hsa_amd_profiling_get_dispatch_time",5,6022,1204,0.019507029948765377
"hsa_amd_profiling_async_copy_enable",3,5290,1763,0.017135866560771977
"hsa_amd_signal_async_handler",2,4969,2484,0.016096053107840447
"hsa_iterate_agents",4,4448,1112,0.014408380805730389
"hsa_signal_silent_store_relaxed",8,3706,463,0.012004824475278062
"hsa_executable_symbol_get_info",15,3703,246,0.011995106592540385
"hsa_queue_add_write_index_screlease",7,2826,403,0.009154245538892554
"hsa_queue_load_read_index_scacquire",7,2313,330,0.007492487590749638
"hsa_queue_load_read_index_relaxed",7,2105,300,0.006818714387603972
"hsa_agent_iterate_isas",4,1463,365,0.004739087481740908
"hsa_amd_profiling_get_async_copy_time",2,951,475,0.003080568827843885
"hsa_amd_profiling_set_profiler_enabled",2,772,386,0.0025007351578291053
"hsa_code_object_reader_destroy",1,681,681,0.0022059593814528766
"hsa_dispatch",2,0,0,0.0
